"","#","label","duration","start time","end time","peak ampl(mean)","peak freq(0)","peak freq(1)","peak freq(2)","peak freq(3)","peak freq(4)","peak freq(5)","peak freq(6)","peak freq(7)","peak freq(8)","peak freq(9)","peak freq(10)","peak freq(11)","peak freq(12)","peak freq(13)","peak freq(14)","peak freq(15)","peak freq(16)","peak freq(17)","peak freq(18)","peak freq(19)","peak freq(20)","peak freq(21)","peak freq(22)","peak freq(23)","peak freq(24)","peak freq(25)","peak freq(26)","peak freq(27)","peak freq(28)","peak freq(29)","peak freq(30)","peak freq(31)","peak freq(32)","peak freq(33)","peak freq(34)","peak freq(35)","peak freq(36)","peak freq(37)","peak freq(38)","peak freq(39)","peak freq(40)","peak freq(41)","peak freq(42)","peak freq(43)","peak freq(44)","peak freq(45)","peak freq(46)","peak freq(47)","peak freq(48)","peak freq(49)","file"
"1921",989,"short-ur",0.0076,508.1216,508.1292,-48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,63900,63900,63900,64900,64900,64900,NA,NA,NA,68300,68300,68300,68800,68800,68800,68800,69300,69300,69300,68800,68800,68800,69300,69300,69300,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,69800,"T0000291"
"1922",990,"short-ur",0.0035,509.0851,509.0887,-83.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1923",991,"flat",0.0471,511.5637,511.6108,-66.46,NA,NA,NA,NA,NA,60500,61000,61000,61000,61000,61000,61000,60500,NA,NA,60000,60500,60500,60000,59500,59500,59500,59000,58500,58500,58100,57600,57600,57100,NA,NA,NA,56100,55600,56100,55100,55100,55100,56100,NA,NA,NA,NA,57100,57600,57600,NA,58500,59000,59000,"T0000291"
"1924",992,"short",0.004,533.0554,533.0595,-51.3,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,58500,58500,58500,58500,58500,58500,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1925",993,"flat",0.0215,533.3038,533.3253,-41.42,60000,60000,60500,61000,61000,61000,61500,61500,61500,62000,62000,62000,62500,62900,62900,62900,62900,62900,63400,63400,63400,63400,63400,63400,63900,63900,63900,63900,63900,63900,63900,63900,63900,63900,63400,63400,63400,63400,63400,63400,62900,62900,61500,61500,62000,61500,61500,60000,60000,59500,"T0000291"
"1926",994,"flat-z",0.0604,533.5106,533.571,-47.03,57100,57100,57600,58100,58100,58500,58500,59000,59000,59000,59500,59000,59500,59000,59500,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,58500,58500,58100,58100,58100,57600,57100,NA,NA,NA,56100,55600,55600,55100,50700,51200,51200,50700,50700,NA,"T0000291"
"1927",995,"short",0.0051,533.9243,533.9294,-58.66,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,NA,NA,NA,NA,NA,56100,56100,56100,56100,56100,NA,NA,NA,NA,NA,"T0000291"
"1928",996,"flat",0.023,534.4082,534.4312,-87.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1929",997,"flat",0.0215,542.9775,542.999,-56.04,NA,NA,NA,NA,59000,59000,59500,60000,60000,60000,60000,60000,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60000,60000,60000,59500,60000,60000,59500,59500,59500,59500,59500,59500,59500,59500,NA,NA,NA,NA,NA,"T0000291"
"1930",998,"flat",0.0143,544.0722,544.0865,-68.2,NA,NA,NA,NA,NA,NA,NA,55100,55100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58100,57600,57600,58100,58100,58500,58500,58500,58500,58500,58500,58500,NA,NA,58500,NA,NA,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,NA,NA,"T0000291"
"1931",999,"step up",0.0291,546.5328,546.562,-59.33,NA,54600,NA,NA,NA,58100,57100,58100,59000,59500,59500,60000,60000,60500,60500,60500,60500,60500,60500,60500,60000,60000,60000,59500,59500,58500,NA,NA,NA,NA,NA,NA,97100,NA,NA,NA,96600,96600,96600,96600,96100,96100,95700,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1932",1000,"flat",0.0179,546.7561,546.7739,-55.69,NA,NA,NA,59000,59000,59000,59500,59500,59500,59500,60000,60000,60000,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60000,60000,60000,60000,59500,59500,59500,NA,58500,58500,58500,58100,58100,58100,58100,58100,58100,57600,NA,NA,"T0000291"
"1933",1001,"inverted-u",0.0291,547.6152,547.6444,-62.94,55100,55100,55600,56600,56100,NA,57600,57100,57600,NA,NA,NA,59000,59500,59500,60000,60000,60000,60000,59500,59500,59000,58500,58500,58100,57600,57600,57100,56600,56600,56600,56100,56100,56100,55600,55100,55100,55100,55100,NA,NA,NA,NA,NA,54100,54100,54600,55100,55100,55100,"T0000291"
"1934",1002,"short",0.0081,549.5469,549.5551,-55.03,53700,53700,53700,53700,54100,54100,54100,54100,54100,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,54600,54600,54600,54600,54600,54600,NA,NA,NA,NA,"T0000291"
"1935",1003,"short",0.0035,553.2108,553.2144,-53.75,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,"T0000291"
"1936",1004,"step up",0.0296,566.4808,566.5106,-57.6,NA,NA,NA,53200,53200,53700,53700,54100,54100,54600,54600,54600,54600,55100,54600,55100,54600,NA,NA,NA,NA,55100,55100,55100,54600,54600,54600,54600,54600,54600,54600,54600,54100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77600,77600,77600,77100,77100,NA,"T0000291"
