"","#","label","duration","start time","end time","peak ampl(mean)","peak freq(0)","peak freq(1)","peak freq(2)","peak freq(3)","peak freq(4)","peak freq(5)","peak freq(6)","peak freq(7)","peak freq(8)","peak freq(9)","peak freq(10)","peak freq(11)","peak freq(12)","peak freq(13)","peak freq(14)","peak freq(15)","peak freq(16)","peak freq(17)","peak freq(18)","peak freq(19)","peak freq(20)","peak freq(21)","peak freq(22)","peak freq(23)","peak freq(24)","peak freq(25)","peak freq(26)","peak freq(27)","peak freq(28)","peak freq(29)","peak freq(30)","peak freq(31)","peak freq(32)","peak freq(33)","peak freq(34)","peak freq(35)","peak freq(36)","peak freq(37)","peak freq(38)","peak freq(39)","peak freq(40)","peak freq(41)","peak freq(42)","peak freq(43)","peak freq(44)","peak freq(45)","peak freq(46)","peak freq(47)","peak freq(48)","peak freq(49)","file"
"1850",917,"short",0.0071,433.4254,433.4325,-37.62,48300,48300,48300,48300,48800,48800,48800,47300,47300,47300,47300,46800,46800,46800,46300,46300,46300,46300,45400,45400,45400,45400,45400,45400,45400,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,46300,46300,46300,46300,46800,46800,46800,45800,45800,45800,45800,46800,46800,46800,47300,"T0000291"
"1851",918,"trill",0.0276,433.626,433.6537,-50.39,59000,59000,59000,59000,59000,58500,58100,59500,60500,61000,62000,62000,62000,62000,61500,NA,NA,44900,60000,63900,63900,62900,63400,63400,63400,60000,59500,61500,63900,63400,63900,63400,NA,NA,NA,NA,NA,NA,44900,NA,63900,64400,62500,61500,61500,61500,61500,64400,64400,64400,"T0000291"
"1852",919,"trill",0.0337,433.987,434.0208,-55.58,62500,62500,62500,NA,NA,NA,NA,NA,NA,68800,68300,68800,69300,68800,67800,67300,67800,72700,65900,65400,66400,NA,NA,67300,69300,70300,69300,66800,66400,66400,66400,66400,69300,65400,NA,NA,NA,NA,NA,NA,45400,65400,65400,48300,NA,NA,77100,NA,NA,NA,"T0000291"
"1853",920,"short",0.0081,434.1806,434.1888,-58.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53200,53200,53200,53200,53200,53200,53700,53700,53700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,52700,52700,52700,53200,53200,53200,52200,52200,52200,NA,"T0000291"
"1854",921,"short",0.0102,434.2189,434.2292,-56.04,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78100,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,78600,79100,79100,79100,79100,79100,78600,78600,79100,79100,79100,NA,NA,79100,79100,79100,NA,NA,NA,NA,NA,"T0000291"
"1855",922,"trill",0.0312,434.7909,434.8221,-75.25,48800,48800,48800,49300,49300,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,NA,65900,NA,NA,65900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1856",923,"flat-z",0.0404,435.6229,435.6633,-44.91,52200,52200,52700,52700,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,52700,52700,52700,52700,52700,52700,52200,52700,52200,52200,52200,52700,52200,52200,52200,52200,52200,52200,52200,52200,51700,51700,NA,51200,50700,50200,46800,46800,46300,NA,NA,NA,NA,"T0000291"
"1857",924,"flat-z",0.0424,435.7217,435.7642,-39.26,46300,46300,NA,45400,45400,45400,45400,45400,45400,45400,45400,45400,NA,NA,NA,46300,45800,46300,46300,46800,46800,46800,47300,47300,47300,NA,52200,51700,52200,52200,52700,52700,53200,53200,53700,53700,54100,54100,54100,54100,54600,54600,54600,54600,54600,54100,54100,53200,53200,52700,"T0000291"
"1858",925,"flat",0.0394,435.9193,435.9587,-33.34,52200,52700,52700,53200,53700,53700,54100,54100,54100,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55600,55100,55100,55100,55600,55600,55100,55600,55600,55600,55600,55100,55100,55100,54600,54600,54600,54600,54100,54100,54100,54100,53700,53700,53700,53700,"T0000291"
"1859",926,"flat",0.088,436.1349,436.2229,-34.99,51200,52700,53700,54100,55100,55600,56600,58100,58100,58100,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58100,58100,58100,57600,57600,57600,57600,57100,57100,57100,56600,56600,55600,55600,54600,55100,54100,54100,53700,53700,53200,53200,52700,52200,52200,52200,52200,52200,51200,"T0000291"
"1860",927,"flat-z",0.0435,436.3678,436.4113,-43.15,51700,51700,52200,52700,53200,53200,53700,53700,54100,54100,54100,54100,54100,54100,53700,53700,53700,53200,53200,52700,52700,52200,52200,52200,52200,52200,51700,51700,51700,51700,51200,51200,51200,51200,51200,50700,50700,50200,50200,50200,49800,46800,46300,46300,46300,45800,45800,45400,44900,44900,"T0000291"
"1861",928,"inverted-u",0.0163,437.4824,437.4988,-46.23,79500,79500,NA,NA,NA,83400,83400,83900,83900,83900,84400,84400,84400,84400,85400,85400,86400,85900,85900,86900,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,85400,85400,85400,85900,85900,84400,84400,84400,83400,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1862",929,"flat",0.0394,437.6662,437.7057,-46.99,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,55100,55100,55100,55600,55600,55600,56100,56600,57100,57100,57600,57600,58100,58100,58500,58500,58500,58500,58500,59000,58500,58500,58500,58500,58100,58100,58100,57600,57600,56600,56600,56100,55600,55600,55600,54600,54600,"T0000291"
"1863",930,"flat",0.0179,438.5157,438.5336,-65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62000,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62000,62000,62000,NA,61500,60500,60500,NA,60500,60500,NA,NA,NA,NA,NA,NA,NA,NA,NA,56100,56100,55600,NA,NA,NA,NA,NA,"T0000291"
"1864",931,"flat",0.0465,438.6411,438.6877,-52.72,NA,54600,54600,55100,55100,55600,55600,55600,56100,56100,NA,NA,56600,56600,56600,56600,56100,56100,56600,56600,56600,NA,56600,56600,56100,56100,55600,55600,55600,55100,55100,55100,54600,54600,54600,54600,54600,54100,53700,53700,NA,NA,53700,53700,54100,54600,55600,56100,56100,55600,"T0000291"
"1865",932,"short",0.0081,438.7619,438.7701,-62.43,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56600,56600,56600,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54100,54100,54100,NA,NA,NA,54100,54100,54100,NA,"T0000291"
"1866",933,"short",0.0081,438.9806,438.9888,-65.35,NA,NA,NA,NA,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,57100,57100,57100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,NA,NA,NA,55600,"T0000291"
"1867",934,"short",0.0081,439.0149,439.0231,-76.41,NA,NA,NA,NA,NA,NA,NA,54100,54100,54100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1868",935,"flat",0.0358,439.2043,439.2402,-70.39,NA,56100,56100,56100,56600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57100,56600,56600,56100,56100,56100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1869",936,"short",0.0138,439.4485,439.4624,-81.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56100,56100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1870",937,"short",0.0117,439.5136,439.5253,-63.48,NA,NA,NA,52700,52700,52700,52700,52700,52700,52700,52700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53700,53700,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54100,54100,NA,"T0000291"
"1871",938,"flat",0.023,440.1069,440.13,-47.12,NA,NA,NA,53700,54100,54100,NA,54600,NA,NA,NA,54600,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55600,55600,55600,55100,55100,55100,55100,54600,54600,54100,54100,54100,54100,54100,"T0000291"
"1872",939,"short",0.0066,440.5749,440.5816,-58.19,NA,NA,NA,NA,88300,88300,88300,88300,87800,87800,87800,87800,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,87400,86900,86900,86900,86900,86400,86400,86400,86400,NA,NA,NA,NA,"T0000291"
"1873",940,"flat",0.0158,440.7505,440.7664,-46.66,56600,56600,56600,56600,57100,57100,57100,57100,57600,57600,58100,58100,58100,58100,58100,58500,58500,58500,58500,58500,58500,NA,NA,NA,58500,58500,58500,58500,58500,58500,58500,58500,58100,58100,58100,58100,58100,58100,57100,57100,57100,57100,57100,56600,56600,56600,56100,56100,56100,55600,"T0000291"
"1874",941,"flat-z",0.0435,440.9379,440.9815,-45.85,58100,58500,59000,59500,59500,60000,60000,60000,60000,59500,59500,59500,59000,58500,58100,58100,58100,56600,56600,56600,56600,56100,56100,56100,55600,56100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55100,55100,55100,55100,54600,54600,54600,54100,54100,53700,53700,"T0000291"
"1875",942,"flat",0.0112,441.1622,441.1734,-46.42,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52200,"T0000291"
"1876",943,"flat",0.0501,442.2742,442.3244,-49.56,56600,56600,56600,56600,57100,57100,57100,56600,56600,56600,56600,56600,56100,56100,55600,55600,55600,55600,55600,55600,55100,55100,55100,55100,54600,54600,54600,54600,54600,54100,54100,54100,54100,53700,53700,53700,53700,53700,53200,NA,NA,NA,NA,NA,53200,53200,52700,NA,NA,NA,"T0000291"
"1877",944,"flat-z",0.0348,445.0022,445.037,-52.4,NA,63400,NA,NA,67300,66800,67300,67800,NA,NA,NA,NA,NA,NA,69300,70300,70300,NA,70300,71700,71200,71700,71700,71700,71700,71700,71700,71700,71700,71700,71700,72200,72200,72200,71700,71700,71200,71200,70800,70300,NA,NA,NA,NA,70300,69300,69800,69300,69300,NA,"T0000291"
"1878",946,"complex",0.0389,445.1353,445.1742,-51.3,NA,NA,NA,NA,NA,NA,NA,68300,68800,68800,71200,71700,72200,72700,71700,71700,71700,71700,71700,71700,71700,71700,71200,70800,NA,69300,69300,69300,69300,69300,68800,68800,68800,68800,68800,68800,68800,68800,69300,68800,68800,68800,68300,67800,NA,NA,66800,66800,66800,66400,"T0000291"
"1879",947,"short-c",0.0071,445.2152,445.2224,-60.64,NA,NA,NA,NA,69800,69800,69800,70800,70800,70800,70800,NA,NA,NA,NA,NA,NA,NA,75600,75600,75600,76100,76100,76100,76100,76600,76600,76600,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77100,77600,77600,77600,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1880",948,"flat",0.0788,469.5413,469.6202,-48.7,55100,55100,55600,56100,56100,56600,56600,56600,56600,56100,56100,56100,56100,55600,55600,55100,55100,55100,55100,55100,54600,54100,54600,54600,54600,54600,54100,54100,54100,54100,54100,54100,54100,54600,54100,54100,54100,54100,NA,NA,NA,54100,54600,54100,54100,NA,NA,NA,54100,53700,"T0000291"
"1881",949,"flat",0.0296,469.8286,469.8583,-58.19,NA,NA,54100,54100,54100,55600,55100,55600,55600,55600,NA,NA,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55100,NA,NA,NA,54600,NA,54600,54600,54100,54100,54100,54100,54100,NA,NA,53700,53700,NA,NA,NA,NA,NA,NA,"T0000291"
"1882",950,"flat",0.0414,472.5473,472.5888,-52.8,60500,61000,60500,60500,NA,NA,NA,60000,NA,60000,NA,NA,NA,NA,NA,NA,60000,60000,60500,61000,60500,61000,61000,61000,61000,61000,61500,61500,62000,62000,62500,62500,62500,62900,62900,62900,62900,62900,62900,62900,62900,62500,62500,62500,62500,62000,NA,60500,60000,NA,"T0000291"
"1883",951,"short",0.0117,472.7367,472.7485,-61.49,57600,57600,57600,57100,57100,57600,57600,57600,57600,57600,57600,57600,57600,58100,58100,58100,58100,58100,NA,NA,59500,59500,NA,NA,58500,58500,59500,59500,59000,59000,58500,58500,58100,58100,58100,58500,58500,58500,58500,57100,57100,NA,NA,56600,56600,NA,NA,NA,NA,NA,"T0000291"
"1884",952,"flat",0.024,472.7767,472.8007,-83.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1885",953,"flat-mz",0.0547,472.9605,473.0152,-70.39,NA,NA,NA,NA,57100,57600,NA,NA,NA,58100,58100,58100,57600,57600,NA,NA,NA,56100,55600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57600,57600,NA,NA,NA,NA,"T0000291"
"1886",954,"flat",0.0419,473.1571,473.199,-71.03,NA,NA,57600,58100,59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,60000,NA,60000,NA,59500,NA,NA,NA,NA,59000,58500,59000,59000,59000,NA,NA,NA,58100,58100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1887",955,"flat",0.0261,473.3982,473.4243,-63.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,57600,57600,57600,57600,58500,NA,NA,NA,NA,NA,58500,58500,58500,58500,58500,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,58500,58500,NA,NA,NA,58100,58100,58100,58100,58100,NA,57600,NA,NA,57100,57100,"T0000291"
"1888",956,"short",0.0071,473.6127,473.6199,-71.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56100,56100,56100,56100,NA,NA,NA,NA,NA,NA,NA,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1889",957,"flat",0.022,473.8175,473.8396,-87.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T0000291"
"1890",958,"flat",0.0307,474.0249,474.0556,-58.82,61000,61000,61000,61000,61000,61000,NA,NA,NA,61000,61500,61000,61000,61000,61000,NA,NA,NA,NA,NA,NA,60500,60000,59500,59500,59500,59500,59500,NA,NA,NA,NA,NA,58500,58500,58500,58500,58100,58100,58100,57600,57600,57600,57100,57100,57100,56600,56600,56600,56100,"T0000291"
"1891",959,"flat",0.0271,474.6306,474.6577,-66.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58500,58500,58500,59000,59000,59000,59000,59000,59000,58500,59000,NA,58100,57600,NA,NA,NA,NA,56600,56600,56600,56600,56600,56600,NA,NA,"T0000291"
"1892",960,"inverted-u",0.0189,494.5889,494.6078,-52.1,NA,NA,NA,53700,54100,54100,54100,54600,55100,55100,55100,55100,55600,55600,55600,56100,56100,56100,56100,56600,56100,56100,56100,56600,56600,56600,56600,57100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56100,56100,55600,55600,55600,55100,55100,55100,NA,54600,NA,NA,"T0000291"
"1893",961,"flat-z",0.0235,494.8208,494.8444,-56.66,45800,45800,45800,45800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54100,54600,55100,55100,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55600,55100,55100,55100,"T0000291"
"1894",962,"short",0.004,494.8756,494.8797,-53.14,53700,53700,53700,53700,53700,53700,53700,54600,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55600,55600,55600,55600,56100,"T0000291"
"1895",963,"flat",0.024,495.0312,495.0553,-51.58,54100,54100,NA,NA,55100,55100,55600,55600,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56100,56100,56100,56100,55600,55600,55600,55600,55100,55100,55100,55100,54600,54600,54600,54100,54100,NA,NA,NA,NA,NA,"T0000291"
"1896",964,"trill",0.0496,496.2196,496.2693,-55.58,59500,60000,60500,60500,61000,61000,60500,NA,NA,62500,63900,NA,NA,NA,62000,65400,NA,NA,NA,NA,62900,64900,62900,63400,63400,62500,NA,NA,NA,NA,NA,61000,61500,61500,67800,64900,65400,NA,NA,NA,NA,NA,NA,NA,62900,68800,69300,62500,61000,NA,"T0000291"
"1897",965,"short",0.0097,497.3383,497.348,-47.38,51200,51200,51200,51700,51700,51700,51700,51700,52200,52200,52200,51700,51700,51700,51700,51700,51700,51700,51700,51200,51200,NA,NA,NA,NA,NA,51700,51700,51700,52700,52700,52200,52200,52200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,NA,NA,52200,"T0000291"
"1898",966,"complex",0.1843,499.1365,499.3208,-60.24,NA,57100,57600,58100,57600,57100,NA,56100,NA,56600,54600,NA,NA,NA,NA,54600,56600,58100,59000,59000,59000,58100,57100,56100,56100,56600,57100,56600,NA,NA,NA,NA,NA,NA,55600,55600,NA,NA,45400,NA,NA,NA,55100,55600,56100,55100,NA,NA,NA,NA,"T0000291"
"1899",967,"flat",0.0163,499.5205,499.5368,-57.19,NA,NA,NA,NA,NA,NA,NA,52700,52700,52700,52700,52700,52700,52700,53200,53200,52700,52700,52700,53200,53200,53200,53200,52700,52700,53200,53200,53200,53200,53200,53200,52700,52700,53200,53200,53200,53200,53200,53200,53200,52700,52700,52700,52200,52200,52200,51200,51200,51200,NA,"T0000291"
"1900",968,"flat",0.0281,499.5824,499.6106,-49.73,58100,58100,58500,58500,59500,59000,59000,59500,59500,59000,59500,59500,59000,59000,59000,59000,59000,58500,58500,58500,58500,58100,58100,57600,57600,57600,57100,57100,57100,57100,57100,57100,57600,57600,57600,58100,58100,58100,58500,58500,58500,59500,59500,59500,59500,59500,59500,59500,59500,59500,"T0000291"
"1901",969,"flat",0.1546,499.7621,499.9168,-43.1,NA,54100,54100,55100,55100,55600,56100,56100,55600,55600,55600,55100,55100,55600,55600,55600,56100,56100,55600,55600,55600,55100,55100,55100,55100,54600,54600,54600,54600,54600,55100,55600,55600,55600,55600,55600,55600,55100,54600,NA,NA,NA,NA,NA,53700,NA,NA,NA,54100,56600,"T0000291"
"1902",970,"flat",0.0158,500.0581,500.0739,-37.7,53700,53700,54100,54100,54100,54600,54600,54600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55600,55600,55600,55600,55600,55600,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,55100,"T0000291"
"1903",971,"flat",0.0276,500.0934,500.121,-39.78,53700,53700,54100,54600,54600,54600,56100,57100,56100,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56100,56100,56600,56100,56100,56100,56100,55600,55600,55600,55600,55600,55600,55100,55100,55100,55100,54600,54600,54100,54100,54100,54100,53700,NA,NA,53700,53700,"T0000291"
"1904",972,"flat-z",0.0788,500.292,500.3709,-52.1,55600,56100,56100,56100,56100,56100,56100,55600,55600,55600,55100,55100,54600,54600,54100,54100,54100,53700,53700,53200,53700,53200,53200,52700,52700,52700,52700,52700,52200,52200,51700,51700,51700,51700,51700,51200,51200,51200,50700,50700,50700,NA,49800,NA,NA,NA,NA,NA,NA,45800,"T0000291"
"1905",973,"flat",0.0286,500.57,500.5987,-68.2,NA,NA,NA,NA,NA,60000,59500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57100,57100,56600,57100,57100,57100,57100,57100,56600,56600,56600,NA,NA,NA,NA,55600,55600,55600,NA,"T0000291"
"1906",974,"flat",0.0296,500.7702,500.7999,-61.94,NA,59500,59500,59500,59500,59500,59500,59500,59500,60000,59500,59500,59000,59000,59000,59000,58500,NA,NA,NA,NA,NA,NA,NA,NA,58500,59000,59500,59000,59000,59000,59000,58500,58500,58500,58500,58100,58100,57600,NA,NA,NA,56600,56600,56600,56100,56100,56100,55600,55600,"T0000291"
"1907",975,"flat",0.0424,500.9664,501.0088,-38.06,58100,59500,60000,60000,60000,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60000,60000,60000,60000,60000,60000,60000,60000,60000,59500,59500,NA,"T0000291"
"1908",976,"short",0.0056,501.1722,501.1778,-64.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,59500,59500,59500,59500,59500,59500,59500,59500,59500,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,59500,59500,59500,59500,59500,60000,60000,60000,60000,59500,59500,59500,59500,59500,"T0000291"
"1909",977,"flat",0.0138,501.3928,501.4067,-43.51,61000,61000,61000,61000,61000,61000,61000,61000,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,61500,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,61500,61500,61500,NA,"T0000291"
"1910",978,"short",0.0051,503.726,503.7312,-56.16,55100,55100,55100,55100,55100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,55100,"T0000291"
