"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"246","multi-step",0,"T0000230",15,0,"WK"
"247","multi-step-s",0,"T0000230",15,0,"WK"
"248","trill",0,"T0000230",15,0,"WK"
"249","trill-c",0,"T0000230",15,0,"WK"
"250","trill-f",0,"T0000230",15,0,"WK"
"251","inverted-U",0,"T0000230",15,0,"WK"
"252","unclear",0,"T0000230",15,0,"WK"
"253","flat",16,"T0000244",36,0.444444444444444,"SD"
"254","flat-z",0,"T0000244",36,0,"SD"
"255","flat-mz",0,"T0000244",36,0,"SD"
"256","short",11,"T0000244",36,0.305555555555556,"SD"
"257","short-su",0,"T0000244",36,0,"SD"
"258","short-sd",0,"T0000244",36,0,"SD"
"259","short-ur",3,"T0000244",36,0.0833333333333333,"SD"
"260","short-dr",0,"T0000244",36,0,"SD"
"261","short-c",1,"T0000244",36,0.0277777777777778,"SD"
"262","complex",0,"T0000244",36,0,"SD"
"263","upward ramp",0,"T0000244",36,0,"SD"
"264","downward ramp",0,"T0000244",36,0,"SD"
"265","step up",1,"T0000244",36,0.0277777777777778,"SD"
"266","step down",3,"T0000244",36,0.0833333333333333,"SD"
"267","multi-step",0,"T0000244",36,0,"SD"
"268","multi-step-s",1,"T0000244",36,0.0277777777777778,"SD"
"269","trill",0,"T0000244",36,0,"SD"
"270","trill-c",0,"T0000244",36,0,"SD"
"271","trill-f",0,"T0000244",36,0,"SD"
"272","inverted-U",0,"T0000244",36,0,"SD"
"273","unclear",0,"T0000244",36,0,"SD"
"274","flat",163,"T0000255",351,0.464387464387464,"SD"
"275","flat-z",5,"T0000255",351,0.0142450142450142,"SD"
"276","flat-mz",3,"T0000255",351,0.00854700854700855,"SD"
"277","short",101,"T0000255",351,0.287749287749288,"SD"
"278","short-su",2,"T0000255",351,0.0056980056980057,"SD"
"279","short-sd",0,"T0000255",351,0,"SD"
"280","short-ur",0,"T0000255",351,0,"SD"
"281","short-dr",0,"T0000255",351,0,"SD"
"282","short-c",16,"T0000255",351,0.0455840455840456,"SD"
"283","complex",3,"T0000255",351,0.00854700854700855,"SD"
"284","upward ramp",14,"T0000255",351,0.0398860398860399,"SD"
"285","downward ramp",1,"T0000255",351,0.00284900284900285,"SD"
"286","step up",3,"T0000255",351,0.00854700854700855,"SD"
"287","step down",35,"T0000255",351,0.0997150997150997,"SD"
"288","multi-step",5,"T0000255",351,0.0142450142450142,"SD"
"289","multi-step-s",0,"T0000255",351,0,"SD"
"290","trill",0,"T0000255",351,0,"SD"
"291","trill-c",0,"T0000255",351,0,"SD"
"292","trill-f",0,"T0000255",351,0,"SD"
"293","inverted-U",0,"T0000255",351,0,"SD"
"294","unclear",0,"T0000255",351,0,"SD"
