"","categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain"
"277","short",29,"T0000256",762,0.0380577427821522,"SD"
"278","short-su",0,"T0000256",762,0,"SD"
"279","short-sd",0,"T0000256",762,0,"SD"
"280","short-ur",0,"T0000256",762,0,"SD"
"281","short-dr",5,"T0000256",762,0.00656167979002625,"SD"
"282","short-c",0,"T0000256",762,0,"SD"
"283","complex",5,"T0000256",762,0.00656167979002625,"SD"
"284","upward ramp",1,"T0000256",762,0.00131233595800525,"SD"
"285","downward ramp",0,"T0000256",762,0,"SD"
"286","step up",0,"T0000256",762,0,"SD"
"287","step down",5,"T0000256",762,0.00656167979002625,"SD"
"288","multi-step",0,"T0000256",762,0,"SD"
"289","multi-step-s",0,"T0000256",762,0,"SD"
"290","trill",0,"T0000256",762,0,"SD"
"291","trill-c",0,"T0000256",762,0,"SD"
"292","trill-f",0,"T0000256",762,0,"SD"
"293","inverted-U",0,"T0000256",762,0,"SD"
"294","unclear",0,"T0000256",762,0,"SD"
"295","flat",0,"T0000304",19,0,"WK"
"296","flat-z",0,"T0000304",19,0,"WK"
"297","flat-mz",0,"T0000304",19,0,"WK"
"298","short",6,"T0000304",19,0.315789473684211,"WK"
"299","short-su",0,"T0000304",19,0,"WK"
"300","short-sd",1,"T0000304",19,0.0526315789473684,"WK"
"301","short-ur",5,"T0000304",19,0.263157894736842,"WK"
"302","short-dr",0,"T0000304",19,0,"WK"
"303","short-c",7,"T0000304",19,0.368421052631579,"WK"
"304","complex",0,"T0000304",19,0,"WK"
"305","upward ramp",0,"T0000304",19,0,"WK"
"306","downward ramp",0,"T0000304",19,0,"WK"
"307","step up",0,"T0000304",19,0,"WK"
"308","step down",0,"T0000304",19,0,"WK"
"309","multi-step",0,"T0000304",19,0,"WK"
"310","multi-step-s",0,"T0000304",19,0,"WK"
"311","trill",0,"T0000304",19,0,"WK"
"312","trill-c",0,"T0000304",19,0,"WK"
"313","trill-f",0,"T0000304",19,0,"WK"
"314","inverted-U",0,"T0000304",19,0,"WK"
"315","unclear",0,"T0000304",19,0,"WK"
