file.name,label,start.time
T0000102,flat,148.4257
T0000102,short,151.7409
T0000102,flat,195.0627
T0000102,step up,201.8816
T0000102,flat,211.4611
T0000102,short,224.2416
T0000102,flat,232.727
T0000102,flat,268.5317
T0000102,flat,271.5007
T0000102,flat,323.0955
T0000102,flat,328.025
T0000102,downward ramp,344.5206
T0000102,short,351.5965
T0000102,short,361.1299
T0000102,short,362.3562
T0000102,flat-z,362.5354
T0000102,flat,362.7535
T0000102,short,362.9967
T0000102,short,391.0614
T0000102,flat,415.7782
T0000102,short-c,438.4865
T0000102,flat,492.012
T0000102,flat,504.452
T0000102,flat,504.6814
T0000102,short,565.8992
T0000102,complex,577.838
T0000102,flat,596.7549
T0000102,flat,596.951
T0000102,flat,597.1614
T0000102,inverted-u,597.7845
T0000102,flat,598.2044
T0000102,flat,598.5653
T0000102,flat,599.0056
T0000102,flat,599.1981
T0000102,flat,599.4281
T0000102,short,599.896
T0000102,short,601.4735
T0000102,flat,602.4232
T0000102,flat,605.4537
T0000102,short-c,605.6545
T0000102,short,606.8054
T0000102,flat,609.0168
T0000102,flat,611.2604
T0000102,flat,611.4887
T0000102,short-c,617.9962
T0000102,short-c,653.3724
T0000102,flat,707.9562
T0000102,flat,716.4769
T0000102,flat,731.4949
T0000102,flat,731.8886
T0000102,flat,809.4868
T0000102,short,862.8408
T0000102,short,882.9301
T0000109,short-c,4.8901
T0000109,short-ur,5.1194
T0000109,short-ur,5.3365
T0000109,short,5.7451
T0000109,short,10.6004
T0000109,flat,17.3352
T0000109,flat,17.8657
T0000109,short,18.6337
T0000109,short,21.2065
T0000109,short,21.7538
T0000109,short-ur,22.0359
T0000109,short,22.2894
T0000109,flat,23.2842
T0000109,short,23.5642
T0000109,flat,24.4249
T0000109,flat,26.7586
T0000109,short,27.3858
T0000109,short,27.6295
T0000109,short,34.7284
T0000109,flat,42.9368
T0000109,flat,43.1892
T0000109,short,50.6035
T0000109,short-c,51.0914
T0000109,short,51.2906
T0000109,short,52.0197
T0000109,short,52.5685
T0000109,short,55.6154
T0000109,flat,56.2652
T0000109,short,57.7443
T0000109,short,58.1207
T0000109,short,58.6234
T0000109,short,64.5749
T0000109,short,78.4808
T0000109,complex,78.6534
T0000109,short,81.9205
T0000109,short,82.2722
T0000109,flat,82.4647
T0000109,short,90.3418
T0000109,short,90.8825
T0000109,flat,91.2614
T0000109,flat,93.166
T0000109,short,93.3478
T0000109,short,94.8689
T0000109,inverted-u,96.6435
T0000109,short,116.014
T0000109,short,128.8729
T0000109,short-c,135.0307
T0000109,flat,139.8963
T0000109,flat,147.0003
T0000109,short-c,147.3121
T0000109,flat,148.1139
T0000109,flat,148.2946
T0000109,short,148.523
T0000109,short,148.9623
T0000109,flat,152.6481
T0000109,flat,152.8944
T0000109,flat harmx,153.0915
T0000109,flat harmx,153.3875
T0000109,flat,158.8285
T0000109,short,159.531
T0000109,short,159.9232
T0000109,flat,160.1756
T0000109,short,160.4264
T0000109,flat,160.6179
T0000109,flat,160.8253
T0000109,flat,161.6742
T0000109,short,161.9056
T0000109,short,166.0564
T0000109,short,166.359
T0000109,short-c,166.6647
T0000109,short,166.9488
T0000109,short,167.5351
T0000109,flat,175.3548
T0000109,flat,178.1601
T0000109,short-ur,178.5436
T0000109,short,179.2414
T0000109,flat,190.3749
T0000109,flat harmx,190.5694
T0000109,short,190.8131
T0000109,unclear,191.6907
T0000109,short,196.9925
T0000109,short,210.2215
T0000109,flat,210.3203
T0000109,short,216.5626
T0000109,flat,216.8145
T0000109,flat,217.0844
T0000109,complex,217.131
T0000109,short,220.9582
T0000109,short,222.8817
T0000109,flat,228.333
T0000109,short,230.2259
T0000109,flat,240.3978
T0000109,short,241.8206
T0000109,short,241.856
T0000109,short,242.0592
T0000109,short,247.7916
T0000109,short,256.1566
T0000109,short,256.3793
T0000109,step up,270.8357
T0000109,short-c,284.6366
T0000109,short,294.7793
T0000109,flat,300.2695
T0000109,flat,309.5639
T0000109,flat,309.7932
T0000109,short,318.5848
T0000109,short,328.6399
T0000109,short-c,344.367
T0000109,short,349.121
T0000109,short-c,350.8592
T0000109,short,367.9226
T0000109,short,397.5592
T0000109,short,424.13
T0000109,short,505.8119
T0000109,flat,506.5763
T0000109,short-su,507.1877
T0000109,short,536.6968
T0000109,short,551.7517
T0000109,short,554.1959
T0000109,short,560.8406
T0000109,flat-z,591.0118
T0000109,short,591.2161
T0000109,flat,591.4132
T0000109,flat,591.5816
T0000109,step up,591.7818
T0000109,short,592.0368
T0000109,complex,592.5304
T0000109,short,593.0429
T0000109,flat,593.4356
T0000109,flat,593.518
T0000109,flat,593.5759
T0000109,flat,593.6419
T0000109,flat,593.772
T0000109,flat under short,594.007
T0000109,step up,594.2246
T0000109,flat,594.476
T0000109,flat,594.69
T0000109,upward ramp,594.88
T0000109,flat,595.0791
T0000109,short,595.8261
T0000109,short,598.3037
T0000109,complex,598.5341
T0000109,short,598.7696
T0000109,flat,598.8613
T0000109,step up,598.9678
T0000109,complex over flat harmx,599.2207
T0000109,flat-z,599.4429
T0000109,short,599.6426
T0000109,flat,599.854
T0000109,short-c,599.9426
T0000109,short,600.1269
T0000109,short,600.3455
T0000109,short,600.3809
T0000109,short,600.4587
T0000109,flat,600.5032
T0000109,complex,600.7178
T0000109,complex,600.9512
T0000109,flat under complex,601.1965
T0000109,flat,601.4003
T0000109,multi-step,601.772
T0000109,complex,602.049
T0000109,flat,602.1939
T0000109,short,602.284
T0000109,flat,602.5328
T0000109,short,602.6204
T0000109,complex,602.9281
T0000109,short,603.0238
T0000109,flat,603.9725
T0000109,unclear,604.1251
T0000109,unclear,604.2531
T0000109,short,604.4154
T0000109,short,604.6674
T0000109,flat,605.1363
T0000109,flat,605.3273
T0000109,flat,605.5332
T0000109,flat,605.7292
T0000109,short,606.2802
T0000109,unclear,609.5431
T0000109,flat,609.8186
T0000109,short-ur,610.0551
T0000109,step up,610.1406
T0000109,flat,610.35
T0000109,flat,611.0156
T0000109,short,611.4503
T0000109,short,612.1948
T0000109,complex,612.3479
T0000109,complex,612.5736
T0000109,flat,612.7785
T0000109,short-ur,615.4511
T0000109,short,615.5161
T0000109,upward ramp,615.5858
T0000109,short,615.7629
T0000109,short,616.2565
T0000109,flat,616.8724
T0000109,short,617.9291
T0000109,short,618.0986
T0000109,short,619.7524
T0000109,short,620.6213
T0000109,short,628.2485
T0000109,short,629.5198
T0000109,short-ur,629.6821
T0000109,short,631.5601
T0000109,short-ur,647.0999
T0000109,flat-z,652.2752
T0000109,flat-z,652.5122
T0000109,short,652.9484
T0000109,short,653.0247
T0000109,short,676.8752
T0000109,flat,680.6318
T0000109,short,682.3439
T0000109,short,683.3223
T0000109,short,686.5781
T0000109,step down,686.9406
T0000109,short,687.9472
T0000109,upward ramp,716.2767
T0000109,short,749.953
T0000109,short,751.4634
T0000109,flat,756.6453
T0000109,short,758.0697
T0000109,flat,762.351
T0000109,short,766.7312
T0000109,flat,767.0697
T0000109,downward ramp,767.2525
T0000109,complex,767.4214
T0000109,flat,767.617
T0000109,flat,768.4874
T0000109,short-sd,768.5247
T0000109,flat,768.9221
T0000109,complex,769.2984
T0000109,flat,769.5313
T0000109,flat,771.4017
T0000109,short,783.083
T0000109,flat,783.2504
T0000109,flat,784.3696
T0000109,short-dr,789.8311
T0000109,short,792.001
T0000109,short,792.598
T0000109,flat,794.5589
T0000109,flat,796.0007
T0000109,flat,797.7932
T0000109,unclear,798.9954
T0000109,short,805.2894
T0000109,short-ur,805.742
T0000109,short,806.1737
T0000109,short-ur,808.9753
T0000109,short,810.35
T0000109,short,810.8912
T0000109,flat,813.0048
T0000109,flat,813.3504
T0000109,flat,820.268
T0000109,short,822.2617
T0000109,short,823.8238
T0000109,short,824.3143
T0000109,flat,837.591
T0000109,flat,837.785
T0000109,flat,837.9463
T0000109,flat,838.1337
T0000109,flat,838.3242
T0000109,unclear,844.9223
T0000109,flat,845.2976
T0000109,unclear,845.6253
T0000109,unclear,845.9821
T0000109,short,846.8392
T0000109,unclear,853.3063
T0000109,unclear,853.5905
T0000109,step down,853.9289
T0000109,short,854.6406
T0000109,short,855.4147
T0000109,short,856.0988
T0000109,short,856.7183
T0000109,flat,856.7639
T0000109,flat under short,857.1212
T0000109,short-ur,857.7346
T0000109,short,864.9236
T0000109,short,866.6142
T0000109,flat,867.4298
T0000109,unclear,870.2633
