"file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"T0000027","flat",0.0194,283.7037,NA,NA,NA,NA,85900,85900,NA,NA,86900,86900,86400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84900,NA,84900,84900,86400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0481,284.6965,42400,42400,42400,42400,42400,42400,42400,42400,41900,42400,42400,42400,41900,41900,NA,NA,NA,NA,NA,NA,41900,41500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,NA,NA,41500,NA,83000,41000,41500,41000,41000
"T0000027","short",0.0046,284.7682,NA,NA,NA,NA,NA,NA,63900,63900,63900,63900,63900,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,64400,63900,63900,63900,63900,63900,63400,63400,63400,63400,63400,63400,63900,63900,63900,63900,63900,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0522,285.5746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39500,39000,NA,NA,NA,39000,39000,38500,38500,38500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.1146,285.7881,NA,NA,NA,NA,40000,40000,NA,40000,40000,NA,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41000,41000,41000,41000,41000,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,40500,40500,40500,40500,40500,NA,40000,40000,39500,NA,NA,39500,NA,NA,NA
"T0000027","flat",0.0168,286.0718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39500,39500,NA,40000,40000,NA,NA,NA,NA,NA,NA
"T0000027","short",0.0128,292.2926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0302,293.3739,NA,NA,NA,47800,47800,47800,NA,47800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42400,NA,NA,NA,NA,NA
"T0000027","flat",0.1228,293.5526,NA,NA,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,NA,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,NA,NA,NA,NA,NA,NA,41500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0286,293.8101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,41900,NA,NA,NA,NA,NA,42400,42900,42900,42900,42900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
