"","label","file.name","recording","strain"
"385","trill-c NOISE","T0000123","PupsSep","WK"
"386","short","T0000123","PupsSep","WK"
"387","short-sd","T0000123","PupsSep","WK"
"388","flat","T0000123","PupsSep","WK"
"389","trill-c","T0000123","PupsSep","WK"
"390","trill-f NOISE","T0000123","PupsSep","WK"
"391","trill NOISE","T0000123","PupsSep","WK"
"392","trill-c NOISE","T0000123","PupsSep","WK"
"393","trill-c NOISE","T0000123","PupsSep","WK"
"394","flat","T0000123","PupsSep","WK"
"395","flat NOISE","T0000123","PupsSep","WK"
"396","flat","T0000140","PupsSep","SD"
"397","short","T0000140","PupsSep","SD"
"398","short","T0000140","PupsSep","SD"
"399","short","T0000140","PupsSep","SD"
"400","short","T0000140","PupsSep","SD"
"401","short-ur FAINT","T0000154","PupsSep","SD"
"402","complex FAINT","T0000154","PupsSep","SD"
"403","flat-mz FAINT","T0000154","PupsSep","SD"
"404","flat FAINT","T0000154","PupsSep","SD"
"405","flat-z FAINT","T0000154","PupsSep","SD"
"406","downward ramp FAINT","T0000154","PupsSep","SD"
"407","short","T0000154","PupsSep","SD"
"408","flat FAINT","T0000154","PupsSep","SD"
"409","short","T0000184","PupsSep","WK"
"410","flat","T0000184","PupsSep","WK"
"411","trill","T0000189","PupsSep","WK"
"412","trill NOISE","T0000189","PupsSep","WK"
"413","step up NOISE","T0000189","PupsSep","WK"
"414","step up NOISE","T0000189","PupsSep","WK"
"415","trill","T0000189","PupsSep","WK"
"416","flat over flat FAINT","T0000189","PupsSep","WK"
"417","flat","T0000194","PupsSep","SD"
"418","flat","T0000194","PupsSep","SD"
"419","flat","T0000194","PupsSep","SD"
"420","flat-z","T0000194","PupsSep","SD"
"421","flat","T0000194","PupsSep","SD"
"422","flat","T0000194","PupsSep","SD"
"423","flat","T0000194","PupsSep","SD"
"424","flat","T0000194","PupsSep","SD"
"425","flat","T0000194","PupsSep","SD"
"426","flat","T0000194","PupsSep","SD"
"427","flat","T0000194","PupsSep","SD"
"428","inverted-u","T0000194","PupsSep","SD"
"429","flat","T0000194","PupsSep","SD"
"430","short","T0000194","PupsSep","SD"
"431","flat","T0000194","PupsSep","SD"
"432","short","T0000194","PupsSep","SD"
"433","flat","T0000194","PupsSep","SD"
"434","flat","T0000194","PupsSep","SD"
"435","flat","T0000194","PupsSep","SD"
"436","flat","T0000194","PupsSep","SD"
"437","flat","T0000194","PupsSep","SD"
"438","flat","T0000194","PupsSep","SD"
"439","flat","T0000194","PupsSep","SD"
"440","flat","T0000194","PupsSep","SD"
"441","flat","T0000194","PupsSep","SD"
"442","flat","T0000194","PupsSep","SD"
"443","flat","T0000194","PupsSep","SD"
"444","flat","T0000194","PupsSep","SD"
"445","flat","T0000194","PupsSep","SD"
"446","flat","T0000194","PupsSep","SD"
"447","flat","T0000194","PupsSep","SD"
"448","flat","T0000194","PupsSep","SD"
"449","flat","T0000194","PupsSep","SD"
"450","flat","T0000194","PupsSep","SD"
"451","flat","T0000194","PupsSep","SD"
"452","flat","T0000194","PupsSep","SD"
"453","flat","T0000194","PupsSep","SD"
"454","flat","T0000194","PupsSep","SD"
"455","flat","T0000194","PupsSep","SD"
"456","flat","T0000194","PupsSep","SD"
"457","flat","T0000194","PupsSep","SD"
"458","flat","T0000194","PupsSep","SD"
"459","flat","T0000194","PupsSep","SD"
"460","flat","T0000194","PupsSep","SD"
"461","flat","T0000194","PupsSep","SD"
"462","flat-z","T0000194","PupsSep","SD"
"463","flat","T0000194","PupsSep","SD"
"464","flat","T0000194","PupsSep","SD"
"465","flat","T0000194","PupsSep","SD"
"466","flat","T0000194","PupsSep","SD"
"467","flat","T0000194","PupsSep","SD"
"468","flat","T0000194","PupsSep","SD"
"469","flat","T0000194","PupsSep","SD"
"470","flat","T0000194","PupsSep","SD"
"471","flat","T0000194","PupsSep","SD"
"472","flat","T0000194","PupsSep","SD"
"473","flat-z","T0000194","PupsSep","SD"
"474","flat","T0000194","PupsSep","SD"
"475","flat","T0000194","PupsSep","SD"
"476","flat","T0000194","PupsSep","SD"
"477","flat","T0000194","PupsSep","SD"
"478","flat","T0000194","PupsSep","SD"
"479","flat","T0000194","PupsSep","SD"
"480","flat","T0000194","PupsSep","SD"
"481","flat","T0000194","PupsSep","SD"
"482","flat","T0000194","PupsSep","SD"
"483","flat","T0000194","PupsSep","SD"
"484","flat","T0000194","PupsSep","SD"
"485","flat","T0000194","PupsSep","SD"
"486","flat","T0000194","PupsSep","SD"
"487","short","T0000194","PupsSep","SD"
"488","flat","T0000194","PupsSep","SD"
"489","flat","T0000194","PupsSep","SD"
"490","flat","T0000194","PupsSep","SD"
"491","flat","T0000194","PupsSep","SD"
"492","flat","T0000194","PupsSep","SD"
"493","flat","T0000194","PupsSep","SD"
"494","flat","T0000194","PupsSep","SD"
"495","short","T0000194","PupsSep","SD"
"496","flat","T0000194","PupsSep","SD"
"497","flat","T0000194","PupsSep","SD"
"498","flat","T0000194","PupsSep","SD"
"499","short","T0000241","PupsSep","SD"
"500","short","T0000241","PupsSep","SD"
"501","flat-z","T0000241","PupsSep","SD"
"502","flat","T0000241","PupsSep","SD"
"503","flat","T0000241","PupsSep","SD"
"504","flat","T0000241","PupsSep","SD"
"505","short","T0000241","PupsSep","SD"
"506","flat","T0000241","PupsSep","SD"
"507","flat","T0000241","PupsSep","SD"
"508","short","T0000241","PupsSep","SD"
"509","complex","T0000241","PupsSep","SD"
"510","flat","T0000241","PupsSep","SD"
"511","short","T0000241","PupsSep","SD"
"512","short","T0000241","PupsSep","SD"
"513","flat","T0000241","PupsSep","SD"
"514","short","T0000241","PupsSep","SD"
"515","short-c","T0000253","PupsSep","SD"
"516","short","T0000253","PupsSep","SD"
"517","trill over upward ramp","T0000253","PupsSep","SD"
"518","inverted-u","T0000253","PupsSep","SD"
"519","trill","T0000253","PupsSep","SD"
"520","multi-step-s","T0000253","PupsSep","SD"
"521","trill-c","T0000253","PupsSep","SD"
"522","inverted-u","T0000253","PupsSep","SD"
