"file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"T0000061","flat-mz",0.2319,173.1973,42900,NA,44400,44400,NA,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,48300,48300,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,47800,47300,47300,47300,47800,47800,43400,42900,42900,43400,43900,44400,44400,44400,43400,42900,42900,42900,43400,43900,43900,NA
"T0000061","flat-mz",0.1623,173.5459,41500,42900,43400,43900,44400,44400,44400,44400,44400,44400,44400,44900,44900,44900,45400,47800,47800,47800,47800,47800,48300,48300,48300,48300,48300,47800,47300,47300,46800,47300,47800,47800,48300,47800,47800,46800,43900,43900,44400,47300,48300,48300,48300,47800,47800,47300,45400,44900,44900,43900
"T0000061","flat-mz",0.1863,173.8286,NA,42400,42900,43900,44400,44900,47300,47800,47800,47800,47800,47800,47300,47800,47300,47300,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46300,45800,43400,42400,NA
"T0000061","flat-mz",0.1838,174.1265,41500,41900,42900,43900,43900,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44900,46300,46800,46800,46300,NA,46300,45800,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,41900,41500
"T0000061","flat",0.1541,174.4404,41000,42400,42900,43400,43400,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,43400,42900,43400,42900,43400,42900,43400,42900,42900,42900,42900,42400,42400,42400,41900,41900,41900,41500,41000
"T0000061","flat",0.0711,174.7281,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,42400,41900,41900,41900,41900,41900,41900,41900,41500,41900,41500,41500,41500,41000,41000,41000,40500,40500
"T0000061","trill",0.0435,175.2074,49300,48800,67300,68300,70300,70300,NA,NA,NA,NA,NA,NA,NA,70800,NA,NA,NA,NA,80500,NA,NA,NA,NA,NA,NA,NA,72700,NA,81500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49300,71700,NA,83000,83000,NA,72200,NA,NA,NA,NA
"T0000061","trill",0.0414,175.8673,NA,NA,62900,62900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67800,68300,68300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66800,NA,NA,NA,NA
"T0000061","trill",0.0696,176.2513,48300,61500,65900,65900,NA,NA,NA,NA,NA,NA,NA,68800,NA,NA,NA,NA,NA,67800,67300,NA,73700,NA,NA,NA,NA,67300,NA,71700,74200,44900,NA,NA,NA,NA,71200,NA,70800,NA,NA,NA,NA,NA,NA,NA,NA,NA,55600,55100,55100,55100
"T0000061","flat",0.0952,176.5949,NA,62500,63400,63900,64400,64900,64900,64900,65400,65900,65900,66400,66800,66400,65900,65400,65400,64900,64900,64900,64900,64900,64900,64900,64900,64900,64400,64400,64400,64400,63900,63900,63900,63900,63400,63400,63400,63400,63400,63400,63400,63400,63900,63900,64400,65400,65900,66400,66800,NA
"T0000061","flat",0.089,176.8058,53700,55100,55600,56100,56100,56600,56600,56600,56600,56600,56100,56100,56100,56100,56100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,54600,54600,54600,54600,54600,54100,54100,53700,53700
"T0000061","trill",0.0409,177.3537,45400,45800,NA,NA,51700,51200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47800,NA,NA,63400,63900,NA
"T0000061","short",0.0081,177.5303,57100,57100,57100,57100,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,57600,57600,57600,58100,58100,58100,57600,57600,57600,58100
"T0000061","flat",0.0506,177.7013,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,NA,NA,NA,NA,NA,NA,52700,52700,53200,53700,53700,53700,53200,53700,53700,53700,53700,53700,53700,53700,53700,54100,53700,53200,53700,53700,53200,53200,53200,53200,53200,52200,51700,NA,50700,50200,49800,48800,NA
"T0000061","flat complex",0.0778,178.1611,NA,NA,NA,NA,NA,NA,52700,52200,52200,52200,48300,49800,52200,51700,51700,50700,49300,48800,47800,47300,47300,47300,47800,48300,48800,49300,49800,50200,52200,52700,53200,53700,53700,53700,53700,53200,52700,51700,49800,49300,47800,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000061","complex",0.0762,178.3536,41900,42400,42400,43900,44400,44900,44900,45400,45400,NA,NA,46300,46300,46300,46300,46300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45800,46300,47300,47800,47800,47800,48300,48300,48800,48800,48800,48800,48800,48800,48300,48300,48300,47800,47800,47300,46800,46300,45800
"T0000061","flat",0.0542,178.5861,NA,46800,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,NA,NA,NA,45800,45800,45400,NA
"T0000061","flat",0.0194,178.8743,41900,41900,42400,NA,NA,NA,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400
"T0000061","short",0.0081,178.9951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49300,49300,49300,49800,49800,49800,49300,49300,49300,49300,49300,49300,NA,NA,NA,NA,NA,NA,49300,49300,49300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000061","flat short-c short",0.1612,179.0842,NA,42900,44900,46300,47300,47800,48300,48300,48300,48300,48300,47800,47300,47300,46800,46300,46300,46300,45800,45800,45800,45800,45400,45400,45400,45400,45800,45800,45800,45400,45400,44900,44900,44900,45400,45800,46300,47300,47300,47800,47300,47300,46800,46800,47300,48300,49300,49800,49300,47800
"T0000061","complex flat",0.2037,179.3126,47800,50200,50200,49800,47300,47300,48300,NA,NA,NA,NA,49300,NA,NA,NA,42400,44400,46800,47300,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,47300,47300,47300,47300,46800,46800,NA,46300,46300,45800,46300,46300,46800,47300,47300
"T0000061","flat flat",0.1346,179.5978,NA,NA,NA,NA,NA,NA,NA,NA,48300,47800,47300,46800,46800,46300,46300,46300,46300,46300,45400,45400,45800,46300,46300,46300,46800,46800,46800,46300,45800,45800,46300,45800,45800,45800,45800,46300,45800,45800,45800,45800,45800,45800,45800,45800,45400,45400,44900,43900,43400,NA
"T0000061","flat flat-z",0.1192,179.8184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53200,53200,53200,53200,40000,41500,41900,42400,42900,43400,43900,44900,45800,46300,46300,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,45800,44400,42900
"T0000061","flat",0.0296,180.0166,48300,48300,48300,48300,48300,48300,48300,48300,47800,47800,47800,47800,48300,48300,47800,47800,47800,47300,47300,47300,47300,47300,NA,46800,NA,NA,46800,47300,46800,46800,46800,46800,46300,46300,46300,45800,45800,45800,45800,45800,45400,45400,45400,45400,45400,44900,44900,44400,44900,44900
"T0000061","flat",0.068,180.0857,41900,42400,42900,43400,44900,45800,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47800,47800,47800,47800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,47800,47800,47300,46800,46800,46300,46300,45800,44900,44400
"T0000061","flat-z",0.0588,180.3095,41900,42400,42400,42400,42900,42900,42900,42400,42400,42400,42400,42900,42900,42900,42900,NA,NA,NA,45800,46300,46300,46800,46800,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,NA,NA
